date,open,high,low,close,adjusted_close,volume
2025-05-23,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,339.3399963378906,84654800
2025-05-27,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,362.8900146484375,120146400
2025-05-28,364.8399963378906,365.0,355.9100036621094,356.8999938964844,356.8999938964844,91404300
2025-05-29,365.2900085449219,367.7099914550781,356.0,358.42999267578125,358.42999267578125,88087800
2025-05-30,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,346.4599914550781,123474900
2025-06-02,343.5,348.0199890136719,333.3299865722656,342.69000244140625,342.69000244140625,81873800
2025-06-03,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,344.2699890136719,99324500
2025-06-04,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,332.04998779296875,98912100
2025-06-05,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,284.70001220703125,287499800
2025-06-06,298.8299865722656,305.5,291.1400146484375,295.1400146484375,295.1400146484375,164747700
2025-06-09,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,308.5799865722656,140908900
2025-06-10,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,326.0899963378906,151256500
2025-06-11,334.3999938964844,335.5,322.5,326.42999267578125,326.42999267578125,122611400
2025-06-12,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,319.1099853515625,105127500
2025-06-13,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,325.30999755859375,128964300
2025-06-16,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,329.1300048828125,83925900
2025-06-17,326.0899963378906,327.260009765625,314.739990234375,316.3500061035156,316.3500061035156,88282700
2025-06-18,317.30999755859375,329.32000732421875,315.45001220703125,322.04998779296875,322.04998779296875,95137700
2025-06-20,327.95001220703125,332.3599853515625,317.7799987792969,322.1600036621094,322.1600036621094,108688000
2025-06-23,327.5400085449219,357.5400085449219,327.4800109863281,348.67999267578125,348.67999267578125,190716800
2025-06-24,356.1700134277344,356.260009765625,340.44000244140625,340.4700012207031,340.4700012207031,114736200
2025-06-25,342.70001220703125,343.0,320.3999938964844,327.54998779296875,327.54998779296875,119845100
2025-06-26,324.6099853515625,331.04998779296875,323.6099853515625,325.7799987792969,325.7799987792969,80440900
2025-06-27,324.510009765625,329.3399963378906,317.5,323.6300048828125,323.6300048828125,89067000
2025-06-30,319.8999938964844,325.5799865722656,316.6000061035156,317.6600036621094,317.6600036621094,76695100
2025-07-01,298.4599914550781,305.8900146484375,293.2099914550781,300.7099914550781,300.7099914550781,145085700
2025-07-02,312.6300048828125,316.8299865722656,303.82000732421875,315.6499938964844,315.6499938964844,119483700
2025-07-03,317.989990234375,318.45001220703125,312.760009765625,315.3500061035156,315.3500061035156,58042300
2025-07-07,291.3699951171875,296.1499938964844,288.7699890136719,293.94000244140625,293.94000244140625,131177900
2025-07-08,297.0,304.04998779296875,294.3500061035156,297.80999755859375,297.80999755859375,103246700
2025-07-09,297.54998779296875,300.1499938964844,293.54998779296875,295.8800048828125,295.8800048828125,75586800
2025-07-10,300.04998779296875,310.4800109863281,300.0,309.8699951171875,309.8699951171875,104365300
2025-07-11,307.8900146484375,314.0899963378906,305.6499938964844,313.510009765625,313.510009765625,79236400
2025-07-14,317.7300109863281,322.6000061035156,312.6700134277344,316.8999938964844,316.8999938964844,78043400
2025-07-15,319.67999267578125,321.20001220703125,310.5,310.7799987792969,310.7799987792969,77556300
2025-07-16,312.79998779296875,323.5,312.6199951171875,321.6700134277344,321.6700134277344,97284800
2025-07-17,323.1499938964844,324.3399963378906,317.05999755859375,319.4100036621094,319.4100036621094,73922900
2025-07-18,321.6600036621094,330.8999938964844,321.4200134277344,329.6499938964844,329.6499938964844,94255000
2025-07-21,334.3999938964844,338.0,326.8800048828125,328.489990234375,328.489990234375,75768800
2025-07-22,329.739990234375,335.4100036621094,321.54998779296875,332.1099853515625,332.1099853515625,77370400
2025-07-23,330.8999938964844,336.20001220703125,328.6700134277344,332.55999755859375,332.55999755859375,92553800
2025-07-24,310.0,310.1499938964844,300.4100036621094,305.29998779296875,305.29998779296875,156966000
2025-07-25,308.739990234375,323.6300048828125,308.010009765625,316.05999755859375,316.05999755859375,148227000
2025-07-28,318.45001220703125,330.489990234375,315.69000244140625,325.5899963378906,325.5899963378906,112673800
2025-07-29,325.54998779296875,326.25,318.25,321.20001220703125,321.20001220703125,87358900
2025-07-30,322.17999267578125,324.45001220703125,311.6199951171875,319.0400085449219,319.0400085449219,83931900
2025-07-31,319.6099853515625,321.3699951171875,306.1000061035156,308.2699890136719,308.2699890136719,85270900
2025-08-01,306.2099914550781,309.30999755859375,297.82000732421875,302.6300048828125,302.6300048828125,89121400
2025-08-04,309.0799865722656,312.1199951171875,303.0,309.260009765625,309.260009765625,78683900
2025-08-05,308.95001220703125,312.45001220703125,305.5,308.7200012207031,308.7200012207031,57961300
2025-08-06,307.8900146484375,320.4700012207031,306.92999267578125,319.9100036621094,319.9100036621094,78523600
2025-08-07,319.7900085449219,322.3999938964844,316.1600036621094,322.2699890136719,322.2699890136719,66658700
2025-08-08,321.42999267578125,335.1499938964844,320.9800109863281,329.6499938964844,329.6499938964844,91200300
2025-08-11,335.0,346.6400146484375,334.1499938964844,339.0299987792969,339.0299987792969,105320200
2025-08-12,345.0,345.260009765625,332.94000244140625,340.8399963378906,340.8399963378906,80522100
2025-08-13,341.5,348.9800109863281,338.20001220703125,339.3800048828125,339.3800048828125,67838900
2025-08-14,335.760009765625,340.4700012207031,330.3999938964844,335.5799865722656,335.5799865722656,75000700
2025-08-15,337.6600036621094,339.29998779296875,327.0199890136719,330.55999755859375,330.55999755859375,74319800
2025-08-18,329.6199951171875,336.2699890136719,329.5899963378906,335.1600036621094,335.1600036621094,56956600
2025-08-19,335.7900085449219,340.54998779296875,327.8500061035156,329.30999755859375,329.30999755859375,75956000
2025-08-20,329.2200012207031,331.3699951171875,314.6000061035156,323.8999938964844,323.8999938964844,77481800
2025-08-21,322.0799865722656,324.8999938964844,318.67999267578125,320.1099853515625,320.1099853515625,55744400
2025-08-22,321.6600036621094,340.25,319.69000244140625,340.010009765625,340.010009765625,93588800
